CustomerNumber,Type,FirstName,OtherName,LastName,DateOfBirth,PriorAddress,Residential,Registered,AddressID,MailingAddressId,PreferredContact,HomePhoneAreaCode,HomePhoneNumber,WorkPhoneAreaCode,WorkPhoneNumber,Mobile,Email,ABN,ACN,Sex,MaritalStatus,DateJoined,CustomerStatus,IsStaffMember,ResidencyStatus,HousingStatus,AddressDurationLength,AddressDurationUnits,isIDVerificationVerified,IDVerificationType,DriversLicenceNumber,DriversLicenceCardNumber,DriversLicenceState,BusinessType,RegisteredDate,TradingStartDate,TrustType,TrustVestingDate,NumberOfEmployees,IsGSARequired,CountryOfBirth,TradingAddressId
1013,Individual,Nick,,Carraway,TEXT-1976-08-20,No,Yes,,2,,Mobile,TEXT-02,9876-1234,TEXT-02,9911-1234,TEXT-0420734932,nick.carraway@yahoo.com,,,MALE,SINGLE,TEXT-2003-10-05,WARNING,,CITIZEN,,,,,,,,,,,,,,,,
987002,Individual,Mohann,,Twister,TEXT-1967-03-19,No,Yes,,26,,Home,TEXT-02,9226-7895,TEXT-02,9922-7895,TEXT-0420732522,motwister@mail.com,,,MALE,SINGLE,,,,CITIZEN,,,,,,,,,,,,,,,,
5252,Individual,Marie,,Young,TEXT-1970-07-29,No,Yes,,8,,Email,TEXT-02,8744-2345,TEXT-02,8655-7743,TEXT-0424058879,myoung@yourmail.com,,,FEMALE,SINGLE,,,,CITIZEN,,,,,,,,,,,,,,,,
5255,Individual,Greg,,Davies,TEXT-1981-11-26,No,Yes,,7,,Email,TEXT-02,6855-9088,TEXT-02,5766-9088,TEXT-0447879099,greg.davies@mail.com,,,MALE,MARRIED,TEXT-2005-03-31,,,CITIZEN,,,,,,,,,,,,,,,,
5256,Individual,Nancy,,Davies,TEXT-1983-02-17,No,Yes,,7,,Email,TEXT-02,6855-9088,TEXT-02,5766-9088,TEXT-0442890455,nancy.davies@mail.com,,,FEMALE,MARRIED,TEXT-2005-03-31,,,CITIZEN,,,,,,,,,,,,,,,,
256973,Company,,Kingsway Ministries Inc,,,No,Yes,Yes,4,98,Work,TEXT-02,38877253,TEXT-02,38877253,,,77 451 790 285,,,,TEXT-2005-03-31,,,CITIZEN,,,,,,,,,,,,,,,,,102
986041,Individual,Massy,,Raymond,TEXT-1980-03-03,No,Yes,,6,,Mobile,TEXT-02,9876-2595,TEXT-02,9211-7843,TEXT-0420889620,massy.raymond@yourmail.com,,,FEMALE,MARRIED,,,,CITIZEN,,,,,,,,,,,,,,,,
986044,Individual,Suzy,,Rosalaes,TEXT-1978-06-06,No,Yes,,3,,Email,TEXT-02,9876-2345,TEXT-02,9231-1234,TEXT-0420709123,suzy.rosalaes@yourmail.com,,,MALE,MARRIED,TEXT-2003-10-09,,,CITIZEN,,,,,,,,,,,,,,,,
986045,Individual,Christoffe,,Rosalaes,TEXT-1995-07-07,No,Yes,,3,,Email,TEXT-02,9876-2345,TEXT-02,9231-7867,TEXT-0420709619,christoffe.rosalaes@yourmail.com,,,MALE,MARRIED,TEXT-2003-10-05,,,CITIZEN,,,,,,,,,,,,,,,,AU
986048,Individual,Gayle,,Sy,TEXT-1972-11-12,No,Yes,,9,,Home,TEXT-02,9990-2327,TEXT-02,9941-8123,TEXT-0420524498,gayle_sy@gmail.com,,,FEMALE,SINGLE,,,,CITIZEN,,,,,,,,,,,,,,,,
986049,Individual,Peter,,Griffin,TEXT-1980-03-10,No,Yes,,10,,Email,TEXT-02,9990-2437,TEXT-02,9341-4523,TEXT-0420528098,peterg@yahoo.com,,,MALE,SINGLE,,,,CITIZEN,,,,,,,,,,,,,,,,
999001,Individual,Greg,,Fran,TEXT-1970-12-16,,,,,,,,,,,,gregf@test.com,,,,,,,,CITIZEN,,,,,,,,,,,,,,,,
999002,Individual,Annie,,Fran,TEXT-1972-10-10,,,,,,,,,,,,annief@test.com,,,,,,,,CITIZEN,,,,,,,,,,,,,,,,
916792,Individual,Trinity,,Porter,TEXT-1973-12-03,No,Yes,,11,,Work,TEXT-02,9876-8793,TEXT-02,9911-2644,TEXT-0421673656,trinity.porter@gmail.com,,,FEMALE,SINGLE,TEXT-2003-10-07,,Yes,CITIZEN,,,,,,,,,,,,,,,,
